old_url,new_url,redirect_type,notes
https://www.daromatours.com/,https://www.daromatours.com/,301,דף הבית - ללא שינוי בכתובת
https://www.daromatours.com/attractions,https://www.daromatours.com/attractions,301,ללא שינוי בכתובת
https://www.daromatours.com/stargazing,https://www.daromatours.com/attractions/stargazing,301,הועבר תחת מבנה /attractions/
https://www.daromatours.com/אסטרומנטיקה,https://www.daromatours.com/attractions/astromentica,301,הומר לסלאג לועזי יציב; יש לאמת שהפניית ה-Hebrew slug עובדת בפועל אחרי הפריסה
https://www.daromatours.com/attractions/deserthappyhour,https://www.daromatours.com/attractions/desert-happy-hour,301,נוסף מקף לסלאג
https://www.daromatours.com/luxurydinner,https://www.daromatours.com/attractions/vip-hosting,301,בעמוד המקורי כותרת ה-SEO הייתה שגויה ("טיולי ג'יפים") בעוד התוכן הוא אירוח VIP - תוקן בכתובת ובכותרת החדשה
https://www.daromatours.com/jeeptour,https://www.daromatours.com/attractions/jeep-tours,301,הומר לסלאג לועזי עקבי
https://www.daromatours.com/organizationevents,https://www.daromatours.com/corporate,301,עמוד ימי גיבוש לעובדים - שם עקבי יותר במבנה החדש
https://www.daromatours.com/daromateam,https://www.daromatours.com/about,301,"עמוד ""קצת עלינו"" המקורי פוצל לשני עמודים חדשים: /about (סיפור החברה) ו-/team (אנשי הצוות). ההפניה הראשית מובילה ל-/about; מומלץ להוסיף קישור בולט מ-/about ל-/team"
https://www.daromatours.com/spaceactivitiesschool,https://www.daromatours.com/education,301,אוחד עם תוכן קייטנות/צה"ל תחת עמוד חינוך אחד
https://www.daromatours.com/תצפיות-למוסדות-לימוד-וקייטנות,https://www.daromatours.com/education,301,אוחד עם עמוד הפלנטריום הבית ספרי
https://www.daromatours.com/מסע-בר-מצווה,https://www.daromatours.com/bar-mitzvah,301,הומר לסלאג לועזי יציב
https://www.daromatours.com/summerevents2025,https://www.daromatours.com/festival,301,עמוד הפסטיבל עודכן לתאריכי 2026 בפועל (התוכן במקור כבר הכיל תאריכי 2026)
https://www.daromatours.com/contact,https://www.daromatours.com/contact,301,ללא שינוי בכתובת
https://www.daromatours.com/blog,https://www.daromatours.com/articles,301,שם עקבי יותר עם שאר מבנה האתר
https://www.daromatours.com/מאמרים-1,https://www.daromatours.com/articles,301,עמוד אינדקס מאמרים חלופי באתר הישן - אוחד לעמוד אחד
https://www.daromatours.com/recommendations,https://www.daromatours.com/articles,301,"עמוד ""מאמרי טיולים"" (המלצות אתרים: בורות לוץ, נחל חצץ, מכתש רמון ועוד) - תוכן זה לא נבנה כעמוד ייעודי בסבב הנוכחי; מופנה זמנית לעמוד מאמרים. ראו content-migration-report.md"
https://www.daromatours.com/copy-of-דף-בית-ראשי,https://www.daromatours.com/,301,עמוד Wix "copy-of" שהיה כבר 404 באתר החי - הפניה מונעת ליתר ביטחון
https://www.daromatours.com/copy-of-אטרקציות,https://www.daromatours.com/attractions,301,עמוד Wix "copy-of" שהיה כבר 404 באתר החי
